,ask,bid,time,med
XPDUSD,2071.94,2061.14,2021-11-22 11:02:59.566675,2066.54
,ask,bid,time,med
XPDUSD,2072.28,2061.48,2021-11-22 11:03:11.570427,2066.88
,ask,bid,time,med
XPDUSD,2072.28,2061.49,2021-11-22 11:03:21.944693,2066.885
,ask,bid,time,med
XPDUSD,2071.75,2060.96,2021-11-22 11:03:26.325045,2066.355
,ask,bid,time,med
XPDUSD,2071.62,2060.83,2021-11-22 11:03:35.784381,2066.225
,ask,bid,time,med
XPDUSD,2071.62,2060.83,2021-11-22 11:03:41.241712,2066.225
,ask,bid,time,med
XPDUSD,2071.63,2060.83,2021-11-22 11:03:49.579280,2066.23
,ask,bid,time,med
XPDUSD,2071.73,2060.93,2021-11-22 11:03:54.017377,2066.33
,ask,bid,time,med
XPDUSD,2071.83,2061.03,2021-11-22 11:04:01.857167,2066.4300000000003
,ask,bid,time,med
XPDUSD,2071.68,2060.88,2021-11-22 11:04:09.696623,2066.2799999999997
,ask,bid,time,med
XPDUSD,2071.78,2060.98,2021-11-22 11:04:20.208416,2066.38
,ask,bid,time,med
XPDUSD,2072.45,2061.66,2021-11-22 11:04:22.430335,2067.055
,ask,bid,time,med
XPDUSD,2072.18,2061.39,2021-11-22 11:04:32.575402,2066.785
,ask,bid,time,med
XPDUSD,2072.18,2061.39,2021-11-22 11:04:36.953709,2066.785
,ask,bid,time,med
XPDUSD,2072.1,2061.31,2021-11-22 11:04:45.828736,2066.705
,ask,bid,time,med
XPDUSD,2072.1,2061.31,2021-11-22 11:04:48.244315,2066.705
,ask,bid,time,med
XPDUSD,2072.1,2061.31,2021-11-22 11:04:55.205343,2066.705
,ask,bid,time,med
XPDUSD,2072.1,2061.31,2021-11-22 11:05:01.785855,2066.705
,ask,bid,time,med
XPDUSD,2072.6,2061.81,2021-11-22 11:05:11.565818,2067.205
,ask,bid,time,med
XPDUSD,2072.23,2061.43,2021-11-22 11:05:20.174441,2066.83
,ask,bid,time,med
XPDUSD,2072.21,2061.41,2021-11-22 11:05:25.449624,2066.81
,ask,bid,time,med
XPDUSD,2072.21,2061.41,2021-11-22 11:05:34.088022,2066.81
,ask,bid,time,med
XPDUSD,2072.21,2061.41,2021-11-22 11:05:42.945642,2066.81
,ask,bid,time,med
XPDUSD,2072.02,2061.23,2021-11-22 11:05:46.665190,2066.625
,ask,bid,time,med
XPDUSD,2072.29,2061.5,2021-11-22 11:05:59.234009,2066.895
,ask,bid,time,med
XPDUSD,2072.29,2061.5,2021-11-22 11:06:06.817824,2066.895
,ask,bid,time,med
XPDUSD,2072.29,2061.5,2021-11-22 11:06:13.299641,2066.895
,ask,bid,time,med
XPDUSD,2072.28,2061.48,2021-11-22 11:06:18.640381,2066.88
,ask,bid,time,med
XPDUSD,2072.28,2061.48,2021-11-22 11:06:23.803326,2066.88
,ask,bid,time,med
XPDUSD,2072.28,2061.48,2021-11-22 11:06:31.731136,2066.88
,ask,bid,time,med
XPDUSD,2072.28,2061.48,2021-11-22 11:06:36.358169,2066.88
,ask,bid,time,med
XPDUSD,2072.28,2061.48,2021-11-22 11:06:43.981336,2066.88
,ask,bid,time,med
XPDUSD,2072.18,2061.38,2021-11-22 11:06:51.067708,2066.7799999999997
,ask,bid,time,med
XPDUSD,2068.0,2057.21,2021-11-22 11:07:00.115332,2062.605
,ask,bid,time,med
XPDUSD,2068.01,2057.15,2021-11-22 11:07:06.365933,2062.58
,ask,bid,time,med
XPDUSD,2068.01,2057.15,2021-11-22 11:07:12.761507,2062.58
,ask,bid,time,med
XPDUSD,2067.92,2056.97,2021-11-22 11:07:17.974299,2062.4449999999997
,ask,bid,time,med
XPDUSD,2067.92,2056.97,2021-11-22 11:07:25.057612,2062.4449999999997
,ask,bid,time,med
XPDUSD,2067.88,2056.85,2021-11-22 11:07:31.607475,2062.365
,ask,bid,time,med
XPDUSD,2067.78,2056.88,2021-11-22 11:07:39.313936,2062.33
,ask,bid,time,med
XPDUSD,2067.99,2057.19,2021-11-22 11:07:46.908448,2062.59
,ask,bid,time,med
XPDUSD,2067.99,2057.19,2021-11-22 11:07:51.394041,2062.59
,ask,bid,time,med
XPDUSD,2068.45,2057.65,2021-11-22 11:07:59.189078,2063.05
,ask,bid,time,med
XPDUSD,2068.45,2057.65,2021-11-22 11:08:05.535532,2063.05
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:08:16.285240,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:08:21.742641,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:08:29.132919,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:08:33.965990,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:08:39.291870,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:08:48.055467,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:08:54.946202,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:09:01.008519,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:09:11.421673,2063.02
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:09:13.809126,2063.02
,ask,bid,time,med
XPDUSD,2068.26,2057.46,2021-11-22 11:09:23.217999,2062.86
,ask,bid,time,med
XPDUSD,2068.42,2057.62,2021-11-22 11:09:31.549002,2063.02
,ask,bid,time,med
XPDUSD,2061.53,2044.71,2021-11-22 11:09:40.218086,2053.12
,ask,bid,time,med
XPDUSD,2057.89,2047.1,2021-11-22 11:09:44.717464,2052.495
,ask,bid,time,med
XPDUSD,2057.92,2047.13,2021-11-22 11:09:49.987692,2052.525
,ask,bid,time,med
XPDUSD,2057.77,2046.98,2021-11-22 11:09:57.843554,2052.375
,ask,bid,time,med
XPDUSD,2051.7,2039.5,2021-11-22 11:10:09.854311,2045.6
,ask,bid,time,med
XPDUSD,2052.02,2034.05,2021-11-22 11:10:15.841300,2043.0349999999999
,ask,bid,time,med
XPDUSD,2055.23,2039.64,2021-11-22 11:10:21.375731,2047.435
,ask,bid,time,med
XPDUSD,2055.71,2040.95,2021-11-22 11:10:30.333160,2048.33
,ask,bid,time,med
XPDUSD,2050.7,2038.29,2021-11-22 11:10:38.982433,2044.495
,ask,bid,time,med
XPDUSD,2050.73,2038.28,2021-11-22 11:10:46.826014,2044.505
,ask,bid,time,med
XPDUSD,2050.73,2038.28,2021-11-22 11:10:50.981812,2044.505
,ask,bid,time,med
XPDUSD,2050.73,2038.28,2021-11-22 11:11:03.753443,2044.505
,ask,bid,time,med
XPDUSD,2049.92,2038.54,2021-11-22 11:11:09.548505,2044.23
,ask,bid,time,med
XPDUSD,2048.75,2037.96,2021-11-22 11:11:16.973550,2043.355
,ask,bid,time,med
XPDUSD,2056.84,2045.19,2021-11-22 11:11:23.100033,2051.0150000000003
,ask,bid,time,med
XPDUSD,2057.11,2043.12,2021-11-22 11:11:31.113758,2050.115
,ask,bid,time,med
XPDUSD,2056.82,2042.66,2021-11-22 11:11:41.866606,2049.7400000000002
,ask,bid,time,med
XPDUSD,2056.88,2042.62,2021-11-22 11:11:49.005186,2049.75
,ask,bid,time,med
XPDUSD,2056.87,2043.03,2021-11-22 11:11:56.189036,2049.95
,ask,bid,time,med
